Addresses,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"800 PROSPECT AVE, Charlottesville, VA",38.021516,-78.496843,1,range_interpolation,800,"Prospect Ave",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"600 WATER ST, Charlottesville, VA",38.028772,-78.477348,0.9,rooftop,600,"E Water St",,,Charlottesville,VA,"Albemarle County",22903,US,"City of Charlottesville"
"200 OLD LYNCHBURG RD, Charlottesville, VA",38.015367,-78.514855,1,range_interpolation,200,"Old Lynchburg Rd",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"1400 MELBOURNE RD, Charlottesville, VA",38.052489,-78.475702,1,rooftop,1400,"Melbourne Rd",,,Charlottesville,VA,"Albemarle County",22902,US,"City of Charlottesville"
"100 UNIVERSITY AVE, Charlottesville, VA",38.04355,-78.503401,0.6,range_interpolation,100,"University Cir",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"1400 SHORT 18TH ST, Charlottesville, VA",38.026538,-78.462371,1,rooftop,1400,"Short 18th St",,,Charlottesville,VA,"Albemarle County",22902,US,"City of Charlottesville"
"1100 GRADY AVE, Charlottesville, VA",38.039136,-78.49401,0.81,nearest_rooftop_match,1104,"Grady Ave",,,Charlottesville,VA,"Albemarle County",22903,US,"City of Charlottesville"
"1100 MILLMONT ST, Charlottesville, VA",38.052642,-78.502484,1,range_interpolation,1100,"Millmont St",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"1100 EMMET ST N, Charlottesville, VA",38.051498,-78.5002,1,range_interpolation,1100,"Emmet St N",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"2300 ANGUS RD, Charlottesville, VA",38.061269,-78.497998,1,rooftop,2300,"Angus Rd",,,Charlottesville,VA,"Albemarle County",22901,US,"City of Charlottesville"
"1300 GORDON AVE, Charlottesville, VA",38.039001,-78.495834,1,range_interpolation,1300,"Gordon Ave",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"400 14TH ST NW, Charlottesville, VA",38.037655,-78.497624,1,range_interpolation,400,"14th St NW",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"500 PARK ST, Charlottesville, VA",38.03394,-78.475337,1,rooftop,500,"Park St",,,Charlottesville,VA,"Albemarle County",22902,US,"City of Charlottesville"
"1000 WERTLAND ST, Charlottesville, VA",38.033911,-78.494229,1,rooftop,1000,"Wertland St",,,Charlottesville,VA,"Albemarle County",22903,US,"City of Charlottesville"
