"","X","Longitude","Latitude","event_date","sport","Opponent","home","win","crime_type","Crime Category"
"135",655,-78.490814,38.031848,"2020-01-28","Basketball","Florida State",FALSE,TRUE,"Domestic Disturbance","Disorderly Conduct"
"136",656,-78.496505,38.034171,"2020-01-28","Basketball","Florida State",FALSE,TRUE,"Fraud-false pretense","Fraud"
"137",657,-78.480746,38.030391,"2020-01-28","Basketball","Florida State",FALSE,TRUE,"Larceny - Shoplifitng","Theft"
"138",658,-78.48045,38.026588,"2020-01-28","Basketball","Florida State",FALSE,TRUE,"Hit and Run","Vehicle Accident"
"139",659,-78.499003,38.045582,"2020-01-28","Basketball","Florida State",FALSE,TRUE,"Fraud-credit card","Fraud"
"140",660,-78.5002,38.051498,"2020-01-28","Basketball","Florida State",FALSE,TRUE,"Suspicious Person","Disorderly Conduct"
"141",661,-78.469685,38.062023,"2020-01-28","Basketball","Florida State",FALSE,TRUE,"Misc - Criminal Call","Other"
"142",662,-78.477549,38.030267,"2020-01-28","Basketball","Florida State",FALSE,TRUE,"Suspicious Activity","Disorderly Conduct"
"143",663,-78.49392,38.019141,"2020-01-28","Basketball","Florida State",FALSE,TRUE,"Animal Complaint","Animal-related"
"144",664,-78.473248,38.022839,"2020-01-28","Basketball","Florida State",FALSE,TRUE,"Fraud-false pretense","Fraud"
"145",665,-78.502883,38.026099,"2020-01-28","Basketball","Florida State",FALSE,TRUE,"Suspicious Activity","Disorderly Conduct"
"146",666,-78.469217,38.022084,"2020-01-28","Basketball","Florida State",FALSE,TRUE,"Larceny - Of Veh Parts/Access","Theft"
"147",667,-78.482348,38.022563,"2020-01-28","Basketball","Florida State",FALSE,TRUE,"Larceny - Theft from Building","Theft"
"148",668,-78.494957,38.026937,"2020-01-28","Basketball","Florida State",FALSE,TRUE,"Death Investigation - DOA","Other"
"149",669,-78.472363,38.065801,"2020-01-28","Basketball","Florida State",FALSE,TRUE,"Death Investigation - DOA","Other"
"150",670,-78.482695,38.030748,"2020-01-28","Basketball","Florida State",FALSE,TRUE,"Lost/FoundProperty","Non-criminal report"
"151",687,-78.477549,38.030267,"2020-01-26","Basketball","Wake Forest",TRUE,TRUE,"Lost/FoundProperty","Non-criminal report"
"152",688,-78.451608,38.04987,"2020-01-26","Basketball","Wake Forest",TRUE,TRUE,"Drug/Narcotics Violation","Substance Abuse"
"153",689,-78.490976,38.045665,"2020-01-26","Basketball","Wake Forest",TRUE,TRUE,"Assist Citizen - Mental/TDO/ECO","Non-criminal report"
"154",690,-78.479272,38.029803,"2020-01-26","Basketball","Wake Forest",TRUE,TRUE,"Larceny - All Other","Theft"
"155",691,-78.481145,38.031382,"2020-01-26","Basketball","Wake Forest",TRUE,TRUE,"Assist Citizen - Mental/TDO/ECO","Non-criminal report"
"156",692,-78.48045,38.026588,"2020-01-26","Basketball","Wake Forest",TRUE,TRUE,"Assault Simple","Threat and/or Assault"
"157",693,-78.495052,38.035521,"2020-01-26","Basketball","Wake Forest",TRUE,TRUE,"Lost/FoundProperty","Non-criminal report"
"158",694,-78.483145,38.039226,"2020-01-26","Basketball","Wake Forest",TRUE,TRUE,"Larceny - All Other","Theft"
"159",695,-78.512626,38.012121,"2020-01-26","Basketball","Wake Forest",TRUE,TRUE,"Assault Simple","Threat and/or Assault"
"160",696,-78.498689,38.038053,"2020-01-26","Basketball","Wake Forest",TRUE,TRUE,"Vandalism","Disorderly Conduct"
"161",697,-78.48003,38.029931,"2020-01-26","Basketball","Wake Forest",TRUE,TRUE,"Vandalism","Disorderly Conduct"
"162",698,-78.510448,38.026783,"2020-01-26","Basketball","Wake Forest",TRUE,TRUE,"Vandalism","Disorderly Conduct"
"163",699,-78.499326,38.034122,"2020-01-26","Basketball","Wake Forest",TRUE,TRUE,"Vandalism","Disorderly Conduct"
"164",700,-78.480746,38.030391,"2020-01-26","Basketball","Wake Forest",TRUE,TRUE,"Larceny - All Other","Theft"
"165",753,-78.489636,38.037013,"2020-01-20","Basketball","NC State",FALSE,FALSE,"Suspicious Activity","Disorderly Conduct"
"166",754,-78.479272,38.029803,"2020-01-20","Basketball","NC State",FALSE,FALSE,"Larceny - Theft from Building","Theft"
"167",755,-78.506608,38.049485,"2020-01-20","Basketball","NC State",FALSE,FALSE,"Larceny - All Other","Theft"
"168",756,-78.498522,38.035916,"2020-01-20","Basketball","NC State",FALSE,FALSE,"Lost/FoundProperty","Non-criminal report"
"169",757,-78.481962,38.020631,"2020-01-20","Basketball","NC State",FALSE,FALSE,"Larceny - Shoplifitng","Theft"
"170",758,-78.495772,38.050533,"2020-01-20","Basketball","NC State",FALSE,FALSE,"Fraud-impersonation","Fraud"
"171",759,-78.517076,38.017059,"2020-01-20","Basketball","NC State",FALSE,FALSE,"Larceny - From Motor Vehicle","Theft"
"172",760,-78.465184,38.029694,"2020-01-20","Basketball","NC State",FALSE,FALSE,"Larceny - All Other","Theft"
"173",761,-78.465184,38.029694,"2020-01-20","Basketball","NC State",FALSE,FALSE,"Larceny - From Motor Vehicle","Theft"
"174",762,-78.493071,38.059769,"2020-01-20","Basketball","NC State",FALSE,FALSE,"Larceny - From Motor Vehicle","Theft"
"175",774,-78.482828,38.030184,"2020-01-18","Basketball","Georgia Tech",TRUE,TRUE,"Suspicious Activity","Disorderly Conduct"
"176",775,-78.514956,38.025169,"2020-01-18","Basketball","Georgia Tech",TRUE,TRUE,"Hit and Run","Vehicle Accident"
"177",776,-78.477549,38.030267,"2020-01-18","Basketball","Georgia Tech",TRUE,TRUE,"Fraud-credit card","Fraud"
"178",777,-78.46969,38.017745,"2020-01-18","Basketball","Georgia Tech",TRUE,TRUE,"Motor Vehicle Theft","Theft"
"179",778,-78.481962,38.020631,"2020-01-18","Basketball","Georgia Tech",TRUE,TRUE,"Larceny - Shoplifitng","Theft"
"180",779,-78.462739,38.03264,"2020-01-18","Basketball","Georgia Tech",TRUE,TRUE,"Vandalism","Disorderly Conduct"
"181",780,-78.50005,38.014495,"2020-01-18","Basketball","Georgia Tech",TRUE,TRUE,"Embezzelment","Fraud"
"182",781,-78.508006,38.028293,"2020-01-18","Basketball","Georgia Tech",TRUE,TRUE,"Phone Calls - Threat or Obscene","Threat and/or Assault"
"183",782,-78.481864,38.023511,"2020-01-18","Basketball","Georgia Tech",TRUE,TRUE,"Shots Fired/Illegal Hunting","Disorderly Conduct"
