Addresses,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"2000 HOLIDAY DR, Charlottesville, VA",38.057743,-78.491336,1,rooftop,2000,"Holiday Dr",,,Charlottesville,VA,"Albemarle County",22901,US,"City of Charlottesville"
"100 AZALEA DR, Charlottesville, VA",38.015727,-78.511412,1,rooftop,100,"Azalea Dr",,,Charlottesville,VA,"Albemarle County",22903,US,"City of Charlottesville"
"1200 LONG ST, Charlottesville, VA",38.036838,-78.46429,1,rooftop,1200,"Long St",,,Charlottesville,VA,"Albemarle County",22901,US,"City of Charlottesville"
"1600 RICKY RD, Charlottesville, VA",38.060455,-78.502101,1,rooftop,1600,"Ricky Rd",,,Charlottesville,VA,"Albemarle County",22901,US,"City of Charlottesville"
"200 E MAIN ST, Charlottesville, VA",38.030391,-78.480746,1,range_interpolation,200,"E Main St",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"800 E MARKET ST, Charlottesville, VA",38.02958,-78.476031,1,rooftop,800,"E Market St",,,Charlottesville,VA,"Albemarle County",22902,US,"Virginia Geographic Information Network (VGIN)"
"200 4TH ST NW, Charlottesville, VA",38.031303,-78.486222,1,range_interpolation,200,"4th St NW",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"1200 E MARKET ST, Charlottesville, VA",38.026633,-78.46845,1,rooftop,1200,"E Market St",,,Charlottesville,VA,"Albemarle County",22901,US,"City of Charlottesville"
"500 CHERRY AVE, Charlottesville, VA",38.02629,-78.491051,1,rooftop,500,"Cherry Ave",,,Charlottesville,VA,"Albemarle County",22903,US,"City of Charlottesville"
"800 MCINTIRE RD, Charlottesville, VA",38.040717,-78.477038,1,range_interpolation,800,"McIntire Rd",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"800 E JEFFERSON ST, Charlottesville, VA",38.03079,-78.475436,1,rooftop,800,"E Jefferson St",,,Charlottesville,VA,"Albemarle County",22902,US,"City of Charlottesville"
"NA UNKNOWN, Charlottesville, VA",38.026588,-78.48045,1,place,,,,,Charlottesville,VA,"Charlottesville city",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"1400 MIDLAND ST, Charlottesville, VA",38.020478,-78.467982,1,rooftop,1400,"Midland St",,,Charlottesville,VA,"Albemarle County",22902,US,"City of Charlottesville"
"200 CARLTON RD, Charlottesville, VA",38.02338,-78.468643,1,rooftop,200,"Carlton Rd",,,Charlottesville,VA,"Albemarle County",22902,US,"City of Charlottesville"
"300 OLD LYNCHBURG RD, Charlottesville, VA",38.026588,-78.48045,0.33,place,,,,,Charlottesville,VA,"Charlottesville city",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"1200 W MAIN ST, Charlottesville, VA",38.032645,-78.496684,1,rooftop,1200,"W Main St",,,Charlottesville,VA,"Albemarle County",22903,US,"Virginia Geographic Information Network (VGIN)"
"1400 VINE ST, Charlottesville, VA",38.019645,-78.46853,1,rooftop,1400,"Vine St",,,Charlottesville,VA,"Albemarle County",22902,US,"City of Charlottesville"
"1300 LONG ST, Charlottesville, VA",38.035319,-78.4627,1,rooftop,1300,"Long St",,,Charlottesville,VA,"Albemarle County",22901,US,"City of Charlottesville"
"600 UNIVERSITY WAY, Charlottesville, VA",38.04308,-78.503292,0.5,range_interpolation,600,"University Cir",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"1100 EMMET ST N, Charlottesville, VA",38.051498,-78.5002,1,range_interpolation,1100,"Emmet St N",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"1600 EMMET ST N, Charlottesville, VA",38.057817,-78.493732,1,rooftop,1600,"Emmet St N",,,Charlottesville,VA,"Albemarle County",22901,US,"City of Charlottesville"
"400 BRANDON AVE, Charlottesville, VA",38.03158,-78.50339,1,rooftop,400,"Brandon Ave",,,Charlottesville,VA,"Albemarle County",22903,US,"Virginia Geographic Information Network (VGIN)"
"200 E MAIN ST, Charlottesville, VA",38.030391,-78.480746,1,range_interpolation,200,"E Main St",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"900 RAYMOND RD, Charlottesville, VA",38.016886,-78.493051,1,range_interpolation,900,"Raymond Rd",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"200 SHAMROCK RD, Charlottesville, VA",38.026783,-78.510448,1,range_interpolation,200,"Shamrock Rd",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"300 15TH ST NW, Charlottesville, VA",38.036158,-78.499392,1,range_interpolation,300,"15th St NW",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
