RecordID,FeeAmount,RabiesExpirationDate,StreetName,TagNumber,TagType,TagYear,BlockNumber
8703,12,2021-12-13T00:00:00.000Z,PARK ST ,37095,Unsexed - 3 Year         ,2015,600
8704,12,2021-12-13T00:00:00.000Z,PARK ST ,37096,Unsexed - 3 Year         ,2015,600
8705,12,2018-10-08T00:00:00.000Z,PARK ST ,37097,Unsexed - 3 Year         ,2015,600
8706,12,2018-05-29T00:00:00.000Z,FENDALL AVE ,37098,Unsexed - 3 Year         ,2015,1800
8707,12,2018-12-16T00:00:00.000Z,GILLESPIE AVE ,37099,Unsexed - 3 Year         ,2015,700
8708,12,2021-06-25T00:00:00.000Z,GILLESPIE AVE ,37100,Unsexed - 3 Year         ,2015,700
8709,12,2015-08-24T00:00:00.000Z,RIDGE ST ,37101,Unsexed - 3 Year         ,2015,500
8710,12,2021-10-15T00:00:00.000Z,LEXINGTON AVE ,37102,Unsexed - 3 Year         ,2015,600
8711,12,2020-12-13T00:00:00.000Z,E MARKET ST ,37103,Unsexed - 3 Year         ,2015,1900
8712,12,2017-07-30T00:00:00.000Z,E MARKET ST ,37104,Unsexed - 3 Year         ,2015,1900
8713,12,2014-05-11T00:00:00.000Z,E MARKET ST ,37105,Unsexed - 3 Year         ,2015,1900
8714,12,2021-07-09T00:00:00.000Z,ALMERE AVE ,37106,Unsexed - 3 Year         ,2015,100
8715,12,2015-07-18T00:00:00.000Z,RIVES ST ,37107,Unsexed - 3 Year         ,2015,900
8716,12,2015-10-19T00:00:00.000Z,RIVES ST ,37108,Unsexed - 3 Year         ,2015,900
8717,30,2018-01-16T00:00:00.000Z,ANGUS RD ,37109,Sexed - 3 Year           ,2015,2100
8718,12,2021-08-17T00:00:00.000Z,TRAILRIDGE RD ,37110,Unsexed - 3 Year         ,2015,1500
8719,12,2015-12-07T00:00:00.000Z,OXFORD RD ,37111,Unsexed - 3 Year         ,2015,1500
8720,12,2015-04-17T00:00:00.000Z,LOCUST AVE ,37112,Unsexed - 3 Year         ,2015,600
8721,12,2015-09-27T00:00:00.000Z,CABELL AVE ,37113,Unsexed - 3 Year         ,2015,800
8722,12,2014-10-06T00:00:00.000Z,HILLTOP RD ,37114,Unsexed - 3 Year         ,2015,1300
8723,12,2018-12-20T00:00:00.000Z,RIDGE ST ,37115,Unsexed - 3 Year         ,2015,400
8724,12,2018-05-29T00:00:00.000Z,JAMESTOWN DR ,37116,Unsexed - 3 Year         ,2015,1600
8725,12,2019-11-14T00:00:00.000Z,TARLETON DR ,37117,Unsexed - 3 Year         ,2015,2100
8726,12,2021-05-10T00:00:00.000Z,LESTER DR ,37118,Unsexed - 3 Year         ,2015,1300
8727,4,2021-10-01T00:00:00.000Z,LIDE PL ,37119,Unsexed - 1 Year         ,2013,100
8728,12,2018-09-14T00:00:00.000Z,MOBILE LN ,37120,Unsexed - 3 Year         ,2015,300
8729,12,2022-12-11T00:00:00.000Z,YORKTOWN DR ,37121,Unsexed - 3 Year         ,2015,1700
8730,12,2021-10-31T00:00:00.000Z,MORRIS RD ,37122,Unsexed - 3 Year         ,2015,2100
8731,12,2015-05-29T00:00:00.000Z,ROYS PL ,37123,Unsexed - 3 Year         ,2015,100
8732,12,2021-05-25T00:00:00.000Z,JEFFERSON PARK AVE ,37124,Unsexed - 3 Year         ,2015,2600
8733,12,2020-12-27T00:00:00.000Z,OTTER ST ,37125,Unsexed - 3 Year         ,2015,1100
8734,12,2015-04-12T00:00:00.000Z,1ST ST N ,37126,Unsexed - 3 Year         ,2015,500
8735,12,2017-12-28T00:00:00.000Z,ALTAVISTA AVE ,37127,Unsexed - 3 Year         ,2015,800
8736,12,2017-01-31T00:00:00.000Z,DAVIS AVE ,37128,Unsexed - 3 Year         ,2015,600
8737,12,2018-04-16T00:00:00.000Z,EDGEWOOD LN ,37129,Unsexed - 3 Year         ,2015,1800
8738,12,2021-07-25T00:00:00.000Z,BEECHWOOD DR ,37130,Unsexed - 3 Year         ,2015,600
8739,12,2017-02-05T00:00:00.000Z,BAYLOR LN ,37131,Unsexed - 3 Year         ,2015,100
8740,12,2021-02-26T00:00:00.000Z,JEFFERSON PARK CIR ,37132,Unsexed - 3 Year         ,2015,2600
8741,12,2020-03-28T00:00:00.000Z,GENTRY LN ,37133,Unsexed - 3 Year         ,2015,1400
8742,12,2015-02-12T00:00:00.000Z,BING LN ,37134,Unsexed - 3 Year         ,2015,900
8743,12,2015-07-18T00:00:00.000Z,OAK ST ,37135,Unsexed - 3 Year         ,2015,400
8744,12,2017-07-08T00:00:00.000Z,GREENBRIER DR ,37136,Unsexed - 3 Year         ,2015,2200
8745,12,2018-05-06T00:00:00.000Z,GROVE AVE ,37137,Unsexed - 3 Year         ,2015,700
8746,12,2014-05-11T00:00:00.000Z,ROCKLAND AVE ,37138,Unsexed - 3 Year         ,2015,800
8747,12,2015-09-24T00:00:00.000Z,ST CHARLES AVE ,37139,Unsexed - 3 Year         ,2015,7000
8748,12,2018-12-08T00:00:00.000Z,ALTAVISTA AVE ,37140,Unsexed - 3 Year         ,2015,900
8749,12,2020-06-29T00:00:00.000Z,ALTAVISTA AVE ,37141,Unsexed - 3 Year         ,2015,900
8750,12,2018-04-28T00:00:00.000Z,KERRY LN ,37142,Unsexed - 3 Year         ,2015,2500
8751,12,2018-12-28T00:00:00.000Z,KERRY LN ,37143,Unsexed - 3 Year         ,2015,2400
8752,12,2018-11-05T00:00:00.000Z,ST ANNES RD ,37144,Unsexed - 3 Year         ,2015,1600
8753,12,2021-07-26T00:00:00.000Z,BROOKWOOD DR ,37145,Unsexed - 3 Year         ,2015,100
8754,12,2015-10-08T00:00:00.000Z,RUGBY RD ,37146,Unsexed - 3 Year         ,2015,1500
8755,12,2018-06-01T00:00:00.000Z,ROBERTSON AVE ,37147,Unsexed - 3 Year         ,2015,400
8756,12,2021-03-30T00:00:00.000Z,GILDERSLEEVE WOOD ,37148,Unsexed - 3 Year         ,2015,0
8757,12,2020-06-27T00:00:00.000Z,NORTH AVE ,37149,Unsexed - 3 Year         ,2015,600
8758,12,2015-12-17T00:00:00.000Z,MEADE AVE ,37150,Unsexed - 3 Year         ,2015,500
8759,12,2015-08-09T00:00:00.000Z,VALLEY VIEW CIR ,37151,Unsexed - 3 Year         ,2015,800
8760,12,2018-03-16T00:00:00.000Z,BRANDYWINE DR ,37152,Unsexed - 3 Year         ,2015,1600
8761,12,2016-06-04T00:00:00.000Z,LOCUST AVE ,37153,Unsexed - 3 Year         ,2015,800
8762,12,2017-10-13T00:00:00.000Z,GREENBRIER DR ,37154,Unsexed - 3 Year         ,2015,2200
8763,12,2021-09-25T00:00:00.000Z,WAYNE AVE ,37155,Unsexed - 3 Year         ,2015,2200
8764,12,2018-08-03T00:00:00.000Z,WAYNE AVE ,37155,Unsexed - 3 Year         ,2015,2200
8765,12,2014-08-17T00:00:00.000Z,MEADE AVE ,37157,Unsexed - 3 Year         ,2015,500
8766,12,2017-12-01T00:00:00.000Z,THOMSON RD ,37158,Unsexed - 3 Year         ,2015,1900
8767,12,2018-01-31T00:00:00.000Z,BRANDYWINE DR ,37159,Unsexed - 3 Year         ,2015,1600
8768,12,2017-06-17T00:00:00.000Z,GREENBRIER DR ,37160,Unsexed - 3 Year         ,2015,2200
8769,12,2014-02-08T00:00:00.000Z,WESTVIEW RD ,37161,Unsexed - 3 Year         ,2015,1800
8770,12,2021-02-08T00:00:00.000Z,MULBERRY AVE ,37162,Unsexed - 3 Year         ,2015,1600
8771,12,2013-11-27T00:00:00.000Z,TARLETON DR ,37163,Unsexed - 3 Year         ,2015,2300
8772,12,2016-08-20T00:00:00.000Z,HARRIS RD ,37164,Unsexed - 3 Year         ,2015,500
8773,12,2015-12-11T00:00:00.000Z,TARLETON DR ,37165,Unsexed - 3 Year         ,2015,2100
8774,12,2021-07-13T00:00:00.000Z,GLENDALE RD ,37166,Unsexed - 3 Year         ,2015,1000
