"","Longitude","Latitude","event_date","sport","Opponent","home","win","crime_type"
"658","-78.48045","38.026588","2020-01-28","Basketball","Florida State","FALSE","TRUE","Hit and Run"
"659","-78.499003","38.045582","2020-01-28","Basketball","Florida State","FALSE","TRUE","Fraud-credit card"
"660","-78.5002","38.051498","2020-01-28","Basketball","Florida State","FALSE","TRUE","Suspicious Person"
"661","-78.469685","38.062023","2020-01-28","Basketball","Florida State","FALSE","TRUE","Misc - Criminal Call"
"662","-78.477549","38.030267","2020-01-28","Basketball","Florida State","FALSE","TRUE","Suspicious Activity"
"663","-78.49392","38.019141","2020-01-28","Basketball","Florida State","FALSE","TRUE","Animal Complaint"
"664","-78.473248","38.022839","2020-01-28","Basketball","Florida State","FALSE","TRUE","Fraud-false pretense"
"665","-78.502883","38.026099","2020-01-28","Basketball","Florida State","FALSE","TRUE","Suspicious Activity"
"666","-78.469217","38.022084","2020-01-28","Basketball","Florida State","FALSE","TRUE","Larceny - Of Veh Parts/Access"
"667","-78.482348","38.022563","2020-01-28","Basketball","Florida State","FALSE","TRUE","Larceny - Theft from Building"
"668","-78.494957","38.026937","2020-01-28","Basketball","Florida State","FALSE","TRUE","Death Investigation - DOA"
"669","-78.472363","38.065801","2020-01-28","Basketball","Florida State","FALSE","TRUE","Death Investigation - DOA"
"670","-78.482695","38.030748","2020-01-28","Basketball","Florida State","FALSE","TRUE","Lost/FoundProperty"
"687","-78.477549","38.030267","2020-01-26","Basketball","Wake Forest","TRUE","TRUE","Lost/FoundProperty"
"688","-78.451608","38.04987","2020-01-26","Basketball","Wake Forest","TRUE","TRUE","Drug/Narcotics Violation"
"689","-78.490976","38.045665","2020-01-26","Basketball","Wake Forest","TRUE","TRUE","Assist Citizen - Mental/TDO/ECO"
"690","-78.479272","38.029803","2020-01-26","Basketball","Wake Forest","TRUE","TRUE","Larceny - All Other"
"691","-78.481145","38.031382","2020-01-26","Basketball","Wake Forest","TRUE","TRUE","Assist Citizen - Mental/TDO/ECO"
"692","-78.48045","38.026588","2020-01-26","Basketball","Wake Forest","TRUE","TRUE","Assault Simple"
"693","-78.495052","38.035521","2020-01-26","Basketball","Wake Forest","TRUE","TRUE","Lost/FoundProperty"
"694","-78.483145","38.039226","2020-01-26","Basketball","Wake Forest","TRUE","TRUE","Larceny - All Other"
"695","-78.512626","38.012121","2020-01-26","Basketball","Wake Forest","TRUE","TRUE","Assault Simple"
"696","-78.498689","38.038053","2020-01-26","Basketball","Wake Forest","TRUE","TRUE","Vandalism"
"697","-78.48003","38.029931","2020-01-26","Basketball","Wake Forest","TRUE","TRUE","Vandalism"
"698","-78.510448","38.026783","2020-01-26","Basketball","Wake Forest","TRUE","TRUE","Vandalism"
"699","-78.499326","38.034122","2020-01-26","Basketball","Wake Forest","TRUE","TRUE","Vandalism"
"700","-78.480746","38.030391","2020-01-26","Basketball","Wake Forest","TRUE","TRUE","Larceny - All Other"
"753","-78.489636","38.037013","2020-01-20","Basketball","NC State","FALSE","FALSE","Suspicious Activity"
"754","-78.479272","38.029803","2020-01-20","Basketball","NC State","FALSE","FALSE","Larceny - Theft from Building"
"755","-78.506608","38.049485","2020-01-20","Basketball","NC State","FALSE","FALSE","Larceny - All Other"
"756","-78.498522","38.035916","2020-01-20","Basketball","NC State","FALSE","FALSE","Lost/FoundProperty"
"757","-78.481962","38.020631","2020-01-20","Basketball","NC State","FALSE","FALSE","Larceny - Shoplifitng"
"758","-78.495772","38.050533","2020-01-20","Basketball","NC State","FALSE","FALSE","Fraud-impersonation"
"759","-78.517076","38.017059","2020-01-20","Basketball","NC State","FALSE","FALSE","Larceny - From Motor Vehicle"
"760","-78.465184","38.029694","2020-01-20","Basketball","NC State","FALSE","FALSE","Larceny - All Other"
"761","-78.465184","38.029694","2020-01-20","Basketball","NC State","FALSE","FALSE","Larceny - From Motor Vehicle"
"762","-78.493071","38.059769","2020-01-20","Basketball","NC State","FALSE","FALSE","Larceny - From Motor Vehicle"
"774","-78.482828","38.030184","2020-01-18","Basketball","Georgia Tech","TRUE","TRUE","Suspicious Activity"
"775","-78.514956","38.025169","2020-01-18","Basketball","Georgia Tech","TRUE","TRUE","Hit and Run"
"776","-78.477549","38.030267","2020-01-18","Basketball","Georgia Tech","TRUE","TRUE","Fraud-credit card"
"777","-78.46969","38.017745","2020-01-18","Basketball","Georgia Tech","TRUE","TRUE","Motor Vehicle Theft"
"778","-78.481962","38.020631","2020-01-18","Basketball","Georgia Tech","TRUE","TRUE","Larceny - Shoplifitng"
"779","-78.462739","38.03264","2020-01-18","Basketball","Georgia Tech","TRUE","TRUE","Vandalism"
"780","-78.50005","38.014495","2020-01-18","Basketball","Georgia Tech","TRUE","TRUE","Embezzelment"
"781","-78.508006","38.028293","2020-01-18","Basketball","Georgia Tech","TRUE","TRUE","Phone Calls - Threat or Obscene"
"782","-78.481864","38.023511","2020-01-18","Basketball","Georgia Tech","TRUE","TRUE","Shots Fired/Illegal Hunting"
"783","-78.499326","38.034122","2020-01-18","Basketball","Georgia Tech","TRUE","TRUE","Larceny - Pocket Picking"
"806","-78.493889","38.021234","2020-01-15","Basketball","Florida State","TRUE","FALSE","Assault Simple"
"807","-78.481638","38.027754","2020-01-15","Basketball","Florida State","TRUE","FALSE","Missing Person-adult"
"808","-78.481442","38.015145","2020-01-15","Basketball","Florida State","TRUE","FALSE","Trespass"
"809","-78.494399","38.024646","2020-01-15","Basketball","Florida State","TRUE","FALSE","Suspicious Activity"
"810","-78.489636","38.037013","2020-01-15","Basketball","Florida State","TRUE","FALSE","Robbery - Strong Arm"
"811","-78.482695","38.030748","2020-01-15","Basketball","Florida State","TRUE","FALSE","Assist Citizen - Mental/TDO/ECO"
"812","-78.465583","38.027733","2020-01-15","Basketball","Florida State","TRUE","FALSE","Driving Under the Influence"
"813","-78.494766","38.03245","2020-01-15","Basketball","Florida State","TRUE","FALSE","Hit and Run"
"814","-78.488002","38.030475","2020-01-15","Basketball","Florida State","TRUE","FALSE","Hit and Run"
"815","-78.472869","38.015537","2020-01-15","Basketball","Florida State","TRUE","FALSE","Vandalism"
"816","-78.484068","38.03575","2020-01-15","Basketball","Florida State","TRUE","FALSE","Warrant Service"
"817","-78.480304","38.031121","2020-01-15","Basketball","Florida State","TRUE","FALSE","Lost/FoundProperty"
"818","-78.494575","38.055945","2020-01-15","Basketball","Florida State","TRUE","FALSE","Drug Investigation"
"819","-78.468643","38.02338","2020-01-15","Basketball","Florida State","TRUE","FALSE","Fraud-impersonation"
"820","-78.5002","38.051498","2020-01-15","Basketball","Florida State","TRUE","FALSE","Larceny - Of Veh Parts/Access"
"821","-78.48045","38.026588","2020-01-15","Basketball","Florida State","TRUE","FALSE","Larceny - All Other"
"822","-78.488528","38.036342","2020-01-15","Basketball","Florida State","TRUE","FALSE","Animal Complaint"
"823","-78.495667","38.046055","2020-01-15","Basketball","Florida State","TRUE","FALSE","Larceny - From Motor Vehicle"
"824","-78.478079","38.030358","2020-01-15","Basketball","Florida State","TRUE","FALSE","Assault Simple"
"866","-78.480685","38.025291","2020-01-11","Basketball","Syracuse","FALSE","FALSE","Sex Offense-forcible fondling"
"867","-78.486048","38.028539","2020-01-11","Basketball","Syracuse","FALSE","FALSE","Disorderly Conduct"
"868","-78.493642","38.033234","2020-01-11","Basketball","Syracuse","FALSE","FALSE","Motor Vehicle Theft"
"869","-78.481274","38.035213","2020-01-11","Basketball","Syracuse","FALSE","FALSE","Driving Under the Influence"
"870","-78.492224","38.060855","2020-01-11","Basketball","Syracuse","FALSE","FALSE","Lost/FoundProperty"
"871","-78.49772","38.040536","2020-01-11","Basketball","Syracuse","FALSE","FALSE","Burglary"
"872","-78.499392","38.036158","2020-01-11","Basketball","Syracuse","FALSE","FALSE","Hit and Run"
"873","-78.48045","38.026588","2020-01-11","Basketball","Syracuse","FALSE","FALSE","Robbery - Strong Arm"
"874","-78.50005","38.014495","2020-01-11","Basketball","Syracuse","FALSE","FALSE","Disturbance - Non Domestic"
"875","-78.48045","38.026588","2020-01-11","Basketball","Syracuse","FALSE","FALSE","Driving Under the Influence"
