"","Latitude","Longitude"
"596",38.030748,-78.482695
"597",38.051498,-78.5002
"598",38.0342,-78.490023
"599",38.065057,-78.48225
"600",38.034122,-78.499326
"601",38.034885,-78.499237
"602",38.051498,-78.5002
"603",38.025308,-78.507207
"604",38.014495,-78.50005
"605",38.027592,-78.474548
"606",38.065057,-78.48225
"607",38.034988,-78.500296
"608",38.026037,-78.488967
"609",38.018774,-78.483294
"610",38.023804,-78.462147
"611",38.019645,-78.46853
"612",38.029594,-78.463905
"613",38.061269,-78.497998
"614",38.031303,-78.486222
"615",38.025763,-78.502172
"616",38.030267,-78.477549
"617",38.047832,-78.504303
"618",38.026588,-78.48045
"619",38.030267,-78.477549
"620",38.036958,-78.474601
"621",38.039875,-78.493575
"622",38.047832,-78.504303
"623",38.031613,-78.478148
"624",38.021104,-78.509653
"625",38.01627,-78.51373
"626",38.034988,-78.500296
"627",38.022084,-78.469217
"628",38.030267,-78.477549
"629",38.031726,-78.498276
"630",38.032137,-78.478169
"631",38.010047,-78.506293
"632",38.023796,-78.49979
"633",38.026588,-78.48045
"634",38.028772,-78.477348
"635",38.033559,-78.490241
"636",38.052642,-78.502484
"637",38.015145,-78.481442
"638",38.029288,-78.482396
"639",38.057817,-78.493732
"640",38.050253,-78.50248
"641",38.02485,-78.471272
"642",38.024646,-78.494399
"643",38.048623,-78.503011
"644",38.030267,-78.477549
"645",38.030267,-78.477549
"646",38.030267,-78.477549
"647",38.024646,-78.494399
"648",38.033404,-78.49779
"649",38.031667,-78.482066
"650",38.026588,-78.48045
"651",38.032287,-78.478169
"652",38.048623,-78.503011
"653",38.017745,-78.46969
"654",38.060855,-78.492224
"655",38.031848,-78.490814
"656",38.034171,-78.496505
"657",38.030391,-78.480746
"658",38.026588,-78.48045
"659",38.045582,-78.499003
"660",38.051498,-78.5002
"661",38.062023,-78.469685
"662",38.030267,-78.477549
"663",38.019141,-78.49392
"664",38.022839,-78.473248
"665",38.026099,-78.502883
"666",38.022084,-78.469217
"667",38.022563,-78.482348
"668",38.026937,-78.494957
"669",38.065801,-78.472363
"670",38.030748,-78.482695
"671",38.019814,-78.486029
"672",38.035916,-78.498522
"673",38.019716,-78.465579
"674",38.057817,-78.493732
"675",38.017307,-78.47547
"676",38.030748,-78.482695
"677",38.042471,-78.511905
"678",38.030267,-78.477549
"679",38.028293,-78.508006
"680",38.025895,-78.484016
"681",38.026847,-78.493802
"682",38.036342,-78.488528
"683",38.022908,-78.485672
"684",38.026588,-78.48045
"685",38.04042,-78.47757
"686",38.052642,-78.502484
"687",38.030267,-78.477549
"688",38.04987,-78.451608
"689",38.045665,-78.490976
"690",38.029803,-78.479272
"691",38.031382,-78.481145
"692",38.026588,-78.48045
"693",38.035521,-78.495052
"694",38.039226,-78.483145
"695",38.012121,-78.512626
"696",38.038053,-78.498689
"697",38.029931,-78.48003
"698",38.026783,-78.510448
"699",38.034122,-78.499326
"700",38.030391,-78.480746
"701",38.023972,-78.501265
"702",38.014495,-78.50005
"703",38.060855,-78.492224
"704",38.026588,-78.48045
"705",38.033577,-78.485453
"706",38.030391,-78.480746
"707",38.026588,-78.48045
"708",38.03264,-78.462739
"709",38.035796,-78.502112
"710",38.014407,-78.470484
"711",38.026343,-78.472905
"712",38.060894,-78.49691
"713",38.023137,-78.472541
"714",38.051161,-78.488847
"715",38.022908,-78.485672
"716",38.030363,-78.481565
"717",38.028362,-78.485648
"718",38.028293,-78.508006
"719",38.052489,-78.475702
"720",38.030267,-78.477549
"721",38.03578,-78.486696
"722",38.057817,-78.493732
"723",38.03394,-78.475337
"724",38.033577,-78.485453
"725",38.030475,-78.488002
"726",38.033951,-78.49996
"727",38.03245,-78.494766
"728",38.034988,-78.500296
"729",38.017059,-78.517076
"730",38.03813,-78.494226
"731",38.023137,-78.472541
"732",38.02679,-78.477406
"733",38.050931,-78.488732
"734",38.031682,-78.481145
