Addresses,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"1700 JEFFERSON PARK AVE, Charlottesville, VA",38.030234,-78.508221,1,rooftop,1700,"Jefferson Park Ave",,,Charlottesville,VA,"Albemarle County",22903,US,"City of Charlottesville"
"800 RIDGE ST, Charlottesville, VA",38.022211,-78.491258,1,rooftop,800,"Ridge St",,,Charlottesville,VA,"Albemarle County",22902,US,"City of Charlottesville"
"1700 ALLIED ST, Charlottesville, VA",38.040728,-78.478271,1,rooftop,1700,"Allied St",,,Charlottesville,VA,"Albemarle County",22903,US,"Virginia Geographic Information Network (VGIN)"
"800 STONEHENGE AVE, Charlottesville, VA",38.018023,-78.481469,1,range_interpolation,800,"Stonehenge Ave",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"200 ROSSER AVE, Charlottesville, VA",38.039732,-78.492033,1,range_interpolation,200,"Rosser Ave",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"500 E MARKET ST, Charlottesville, VA",38.030358,-78.478079,1,rooftop,500,"E Market St",,,Charlottesville,VA,"Albemarle County",22902,US,"City of Charlottesville"
"400 14TH ST NW, Charlottesville, VA",38.037655,-78.497624,1,range_interpolation,400,"14th St NW",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"500 16TH ST NW, Charlottesville, VA",38.039816,-78.49879,1,range_interpolation,500,"16th St NW",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"900 1ST ST S, Charlottesville, VA",38.022908,-78.485672,1,rooftop,900,"1st St S",,,Charlottesville,VA,"Albemarle County",22902,US,"Virginia Geographic Information Network (VGIN)"
"400 4TH ST NE, Charlottesville, VA",38.032137,-78.478169,1,range_interpolation,400,"4th St NE",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"100 W MARKET ST, Charlottesville, VA",38.031682,-78.481145,0.8,range_interpolation,100,"Market St",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"900 WOODFOLK DR, Charlottesville, VA",38.018826,-78.491794,1,rooftop,900,"Woodfolk Dr",,,Charlottesville,VA,"Albemarle County",22903,US,"City of Charlottesville"
"600 E MARKET ST, Charlottesville, VA",38.030267,-78.477549,1,range_interpolation,600,"Market St E",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"1800 HYDRAULIC RD, Charlottesville, VA",38.060222,-78.490328,1,range_interpolation,1800,"Hydraulic Rd",,,Charlottesville,VA,"Albemarle County",22901,US,"TIGER/Line® dataset from the US Census Bureau"
"400 E MARKET ST, Charlottesville, VA",38.030675,-78.478873,1,range_interpolation,400,"Market St E",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"600 13TH ST NW, Charlottesville, VA",38.039636,-78.495272,1,range_interpolation,600,"13th St NW",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"100 5TH ST NE, Charlottesville, VA",38.030195,-78.477633,1,rooftop,100,"5th St NE",,,Charlottesville,VA,"Albemarle County",22902,US,"City of Charlottesville"
"1100 ROSE HILL DR, Charlottesville, VA",38.041407,-78.484043,1,range_interpolation,1100,"Rose Hill Dr",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"1000 FOREST HILLS AVE, Charlottesville, VA",38.025451,-78.495668,1,range_interpolation,1000,"Forest Hills Ave",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"400 8TH ST NE, Charlottesville, VA",38.031288,-78.475307,1,range_interpolation,400,"8th St NE",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"600 BOOKER ST, Charlottesville, VA",38.038019,-78.489672,1,range_interpolation,600,"Booker St",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"500 HARRIS RD, Charlottesville, VA",38.014946,-78.503703,1,range_interpolation,500,"Harris Rd",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"100 MAURY AVE, Charlottesville, VA",38.025813,-78.515097,1,range_interpolation,100,"Maury Ave",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"1400 SUNRISE PARK LN, Charlottesville, VA",38.020972,-78.467448,0.81,nearest_rooftop_match,1404,"Sunrise Park Ln",,,Charlottesville,VA,"Albemarle County",22902,US,"Virginia Geographic Information Network (VGIN)"
"200 4TH ST SE, Charlottesville, VA",38.029486,-78.47961,1,range_interpolation,200,"4th St SE",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"300 11TH ST NW, Charlottesville, VA",38.035696,-78.494993,1,range_interpolation,300,"11th St NW",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"200 RIDGE MCINTIRE RD, Charlottesville, VA",38.031294,-78.484883,1,range_interpolation,200,"Ridge Mcintire Rd",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"500 W MAIN ST, Charlottesville, VA",38.030788,-78.487892,1,rooftop,500,"W Main St",,,Charlottesville,VA,"Albemarle County",22903,US,"Virginia Geographic Information Network (VGIN)"
"600 BOLLING AVE, Charlottesville, VA",38.024116,-78.481209,1,rooftop,600,"Bolling Ave",,,Charlottesville,VA,"Albemarle County",22902,US,"City of Charlottesville"
"200 7TH ST NE, Charlottesville, VA",38.029972,-78.476647,1,range_interpolation,200,"7th St NE",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"1500 VIRGINIA AVE, Charlottesville, VA",38.038053,-78.498689,1,rooftop,1500,"Virginia Ave",,,Charlottesville,VA,"Albemarle County",22901,US,"City of Charlottesville"
"600 E MARKET ST, Charlottesville, VA",38.030267,-78.477549,1,range_interpolation,600,"Market St E",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"600 NORTH AVE, Charlottesville, VA",38.043854,-78.470276,1,range_interpolation,600,"North Ave",,,Charlottesville,VA,"Albemarle County",22901,US,"TIGER/Line® dataset from the US Census Bureau"
"1600 UNIVERSITY AVE, Charlottesville, VA",38.034497,-78.500062,0.9,range_interpolation,1600,"University Ave",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"600 E MARKET ST, Charlottesville, VA",38.030267,-78.477549,1,range_interpolation,600,"Market St E",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"300 E MARKET ST, Charlottesville, VA",38.030905,-78.479564,1,rooftop,300,"E Market St",,,Charlottesville,VA,"Albemarle County",22902,US,"City of Charlottesville"
"1700 MONTICELLO RD, Charlottesville, VA",38.016504,-78.47295,1,rooftop,1700,"Monticello Rd",,,Charlottesville,VA,"Albemarle County",22902,US,"City of Charlottesville"
"100 MONTICELLO AVE, Charlottesville, VA",38.027986,-78.484488,1,range_interpolation,100,"Monticello Ave",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"300 W MAIN ST, Charlottesville, VA",38.030167,-78.485534,1,rooftop,300,"W Main St",,,Charlottesville,VA,"Albemarle County",22902,US,"City of Charlottesville"
"300 RIVERSIDE AVE, Charlottesville, VA",38.02387,-78.455313,1,rooftop,300,"Riverside Ave",,,Charlottesville,VA,"Albemarle County",22902,US,"City of Charlottesville"
"100 LYMAN ST, Charlottesville, VA",37.997625,-78.485192,0.1,street_center,,"Lyman Hills Dr",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"1100 JOHN ST, Charlottesville, VA",38.035942,-78.496167,1,range_interpolation,1100,"John St",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"900 HENRY AVE, Charlottesville, VA",38.038906,-78.48683,1,rooftop,900,"Henry Ave",,,Charlottesville,VA,"Albemarle County",22902,US,"City of Charlottesville"
"1100 RIVER RD, Charlottesville, VA",38.038632,-78.456902,1,range_interpolation,1100,"River Rd",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"100 CHANCELLOR ST, Charlottesville, VA",38.035846,-78.50148,1,range_interpolation,100,"Chancellor St",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
