Addresses,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"800 ELLIOTT AVE, Charlottesville, VA",38.020269,-78.47982,1,rooftop,800,"Elliott Ave",,,Charlottesville,VA,"Albemarle County",22902,US,"City of Charlottesville"
"1400 HAMPTON ST, Charlottesville, VA",38.019047,-78.469152,1,range_interpolation,1400,"Hampton St",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"1300 W MAIN ST, Charlottesville, VA",38.033404,-78.49779,1,range_interpolation,1300,"Main St W",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"500 7 1/2 ST SW, Charlottesville, VA",38.027098,-78.49316,1,rooftop,500,"7 1/2 St SW",,,Charlottesville,VA,"Albemarle County",22903,US,"City of Charlottesville"
"900 W MAIN ST, Charlottesville, VA",38.031799,-78.494644,1,rooftop,900,"W Main St",,,Charlottesville,VA,"Albemarle County",22903,US,"City of Charlottesville"
"1000 2ND ST SE, Charlottesville, VA",38.023661,-78.481864,1,range_interpolation,1000,"2nd St SE",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"100 LITTLE HIGH ST, Charlottesville, VA",38.026588,-78.48045,0.33,place,,,,,Charlottesville,VA,"Charlottesville city",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"900 CHARLTON AVE, Charlottesville, VA",38.038438,-78.487242,1,range_interpolation,900,"Charlton Ave",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"2100 MICHIE DR, Charlottesville, VA",38.065057,-78.48225,1,rooftop,2100,"Michie Dr",,,Charlottesville,VA,"Albemarle County",22901,US,"City of Charlottesville"
"1200 CEDARS CT, Charlottesville, VA",38.055196,-78.5015,1,range_interpolation,1200,"Cedars Ct",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"900 ELLIOTT AVE, Charlottesville, VA",38.019591,-78.478223,1,rooftop,900,"Elliott Ave",,,Charlottesville,VA,"Albemarle County",22902,US,"City of Charlottesville"
"600 E MARKET ST, Charlottesville, VA",38.030267,-78.477549,1,range_interpolation,600,"Market St E",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"1100 LITTLE HIGH ST, Charlottesville, VA",38.030534,-78.470865,1,range_interpolation,1100,"Little High St",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"1600 ROSE HILL DR, Charlottesville, VA",38.049534,-78.482596,1,rooftop,1600,"Rose Hill Dr",,,Charlottesville,VA,"Albemarle County",22903,US,"City of Charlottesville"
"200 GARRETT ST, Charlottesville, VA",38.028249,-78.482711,1,rooftop,200,"Garrett St",,,Charlottesville,VA,"Albemarle County",22902,US,"City of Charlottesville"
"1400 PEN PARK RD, Charlottesville, VA",38.04987,-78.451608,1,rooftop,1400,"Pen Park Rd",,,Charlottesville,VA,"Albemarle County",22901,US,"Virginia Geographic Information Network (VGIN)"
"1600 MONTICELLO RD, Charlottesville, VA",38.017364,-78.472936,1,rooftop,1600,"Monticello Rd",,,Charlottesville,VA,"Albemarle County",22902,US,"City of Charlottesville"
"900 PRESTON AVE, Charlottesville, VA",38.037013,-78.489636,1,rooftop,900,"Preston Ave",,,Charlottesville,VA,"Albemarle County",22902,US,"City of Charlottesville"
"800 HENRY AVE, Charlottesville, VA",38.038237,-78.485851,1,rooftop,800,"Henry Ave",,,Charlottesville,VA,"Albemarle County",22903,US,"City of Charlottesville"
"500 W MAIN ST, Charlottesville, VA",38.030788,-78.487892,1,rooftop,500,"W Main St",,,Charlottesville,VA,"Albemarle County",22903,US,"Virginia Geographic Information Network (VGIN)"
"400 MONTICELLO RD, Charlottesville, VA",38.025401,-78.476047,1,range_interpolation,400,"Monticello Rd",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"800 HARDY DR, Charlottesville, VA",38.033559,-78.490241,1,range_interpolation,800,"Hardy Dr",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"1400 CHERRY AVE, Charlottesville, VA",38.02438,-78.502439,1,range_interpolation,1400,"Cherry Ave",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"1000 W MAIN ST, Charlottesville, VA",38.031987,-78.49551,1,rooftop,1000,"W Main St",,,Charlottesville,VA,"Albemarle County",22903,US,"City of Charlottesville"
"2700 MCELROY DR, Charlottesville, VA",38.016724,-78.516252,1,rooftop,2700,"McElroy Dr",,,Charlottesville,VA,"Albemarle County",22903,US,"City of Charlottesville"
"800 PRESTON AVE, Charlottesville, VA",38.036342,-78.488528,1,rooftop,800,"Preston Ave",,,Charlottesville,VA,"Albemarle County",22903,US,"City of Charlottesville"
"1900 EMMET ST N, Charlottesville, VA",38.060855,-78.492224,1,range_interpolation,1900,"Emmet St N",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"700 PROSPECT AVE, Charlottesville, VA",38.024646,-78.494399,1,rooftop,700,"Prospect Ave",,,Charlottesville,VA,"Albemarle County",22903,US,"Virginia Geographic Information Network (VGIN)"
"700 GRAVES ST, Charlottesville, VA",38.026906,-78.476687,1,rooftop,700,"Graves St",,,Charlottesville,VA,"Albemarle County",22902,US,"City of Charlottesville"
